Title (Address),Area (sq-ft),Price (Cr)
"2 BHK Apartment for Sale in Sudarshan Landmark, Jogeshwari East Mumbai",650 sqft,"₹
2.02 Cr"
"2 BHK Apartment for Sale in Parekh Celeste, Goregaon West Mumbai",602 sqft,"₹
1.71 Cr"
"3 BHK Apartment for Sale in Kalpataru Elitus, Mulund West Mumbai",1222 sqft,"₹
3.28 Cr"
"3 BHK Apartment for Sale in Mahindra Vista, Kandivali East Mumbai",1120 sqft,"₹
3.13 Cr"
"3 BHK Apartment for Sale in Godrej Vistas, Vikhroli Mumbai",1196 sqft,"₹
4.86 Cr"
"3 BHK Apartment for Sale in ID Vista Residences, Goregaon West Mumbai",1170 sqft,"₹
4.10 Cr"
"2 BHK Apartment for Sale in WMI Ashford Regal, Bhandup West Mumbai",650 sqft,"₹
1.56 Cr"
"3 BHK Apartment for Sale in Shelton Elite, Juhu Mumbai",1356 sqft,"₹
7.67 Cr"
"3 BHK Apartment for Sale in Godrej Nurture, Bhandup West Mumbai",900 sqft,"₹
2.28 Cr"
"3 BHK Apartment for Sale in Piramal Aranya , Byculla Mumbai",1420 sqft,"₹
7.24 Cr"
"2 BHK Apartment for Sale in Atmiya Centria, Santacruz East Mumbai",778 sqft,"₹
2 Cr"
"3 BHK Apartment for Sale in Lodha Riservo, Vikhroli West Mumbai",894 sqft,"₹
3.21 Cr"
"3 BHK Apartment for Sale in Lokhandwala Minerva, Mahalakshmi Mumbai",2058 sqft,"₹
8.74 Cr"
"2 BHK Apartment for Sale in Redevelopment Of Om Manikanta CHSL, Goregaon West Mumbai",710 sqft,"₹
1.99 Cr"
"2 BHK Apartment for Sale in Vihang Luxuria, Mira Road East Mumbai",644 sqft,"₹
1.03 Cr"
"2 BHK Apartment for Sale in Rivali Park Moonrise, Borivali East Mumbai",774 sqft,"₹
2.24 Cr"
"3 BHK Apartment for Sale in Rivali Park Moonrise, Borivali East Mumbai",1253 sqft,"₹
3.15 Cr"
"3 BHK Apartment for Sale in Lodha Adrina, Worli Mumbai",1332 sqft,"₹
7.99 Cr"
"2 BHK Apartment for Sale in Arkade Eden, Malad West Mumbai",660 sqft,"₹
2.11 Cr"
"2 BHK Apartment for Sale in RNA NG Bliss, Mira Road East Mumbai",610 sqft,"₹
1.02 Cr"
"2 BHK Apartment for Sale in Ava Maple, Borivali Mumbai",662 sqft,"₹
1.59 Cr"
"2 BHK Apartment for Sale in Hubtown Seasons, Chembur Mumbai",733 sqft,"₹
2.60 Cr"
"2 BHK Apartment for Sale in Shraddha Park City, Borivali East Mumbai",653 sqft,"₹
1.63 Cr"
"3 BHK Apartment for Sale in Ruparel Stardom, Malad West Mumbai",1235 sqft,"₹
3.50 Cr"
"2 BHK Apartment for Sale in Runwal Sanctuary, Mulund West Mumbai",675 sqft,"₹
1.66 Cr"
"2 BHK Apartment for Sale in Paton Towers, Kandivali East Mumbai",651 sqft,"₹
1.36 Cr"
"3 BHK Apartment for Sale in Chheda Avighna , Mira Bhayandar Mumbai",728 sqft,"₹
1.12 Cr"
"3 BHK Apartment for Sale in N Rose Northern Hills, Dahisar East Mumbai",1026 sqft,"₹
2.70 Cr"
"2 BHK Apartment for Sale in Lodha Eternis, Andheri East Mumbai",798 sqft,"₹
2.85 Cr"
"2 BHK Apartment for Sale in Windermere, Bhayandar West Mumbai",500 sqft,"₹
80.8 Lac"
"2 BHK Apartment for Sale in Avant Heritage V, Jogeshwari East Mumbai",720 sqft,"₹
1.43 Cr"
"2 BHK Apartment for Sale in L&T Elixir Reserve, Powai Mumbai",840 sqft,"₹
3.19 Cr"
"3 BHK Apartment for Sale in Bellanza Phase 1 Wing A B C at The Prestige City, Mulund West Mumbai",914 sqft,"₹
2.22 Cr"
"3 BHK Apartment for Sale in AnchorPoint Aviara, Malad West Mumbai",1009 sqft,"₹
2.72 Cr"
"3 BHK Apartment for Sale in Bitcon Elysium, Kandivali East Mumbai",842 sqft,"₹
1.94 Cr"
"3 BHK Apartment for Sale in Techovision Vivanta Marvel, Mira Road East Mumbai",925 sqft,"₹
1.47 Cr"
"3 BHK Apartment for Sale in Nicco Residency, Jogeshwari Vikhroli Link Road Mumbai",1002 sqft,"₹
2.59 Cr"
"3 BHK Apartment for Sale in Rustomjee Crown Phase II, Prabhadevi Mumbai",1404 sqft,"₹
9.16 Cr"
"2 BHK Apartment for Sale in Runwal Forests, Kanjurmarg West Mumbai",660 sqft,"₹
1.84 Cr"
"3 BHK Apartment for Sale in Oberoi Elysian, Goregaon East Mumbai",1888 sqft,"₹
7.46 Cr"
"3 BHK Apartment for Sale in Keysky Rustomjee Aden, Bandra East Mumbai",940 sqft,"₹
4.96 Cr"
"3 BHK Apartment for Sale in Ekta Tripolis, Goregaon West Mumbai",1084 sqft,"₹
3.94 Cr"
"3 BHK Apartment for Sale in Ruparel Jewel, Parel Mumbai",1034 sqft,"₹
3.23 Cr"
"3 BHK Apartment for Sale in Hubtown 25 South, Prabhadevi Mumbai",1716 sqft,"₹
18.01 Cr"
"2 BHK Apartment for Sale in The Wadhwa Atmosphere O2, Mulund West Mumbai",634 sqft,"₹
1.64 Cr"
"3 BHK Apartment for Sale in L&T Elixir Reserve, Powai Mumbai",1040 sqft,"₹
3.95 Cr"
"2 BHK Apartment for Sale in Shree Ram Krishna Garden, Mira Road East Mumbai",569 sqft,"₹
89.6 Lac"
"3 BHK Apartment for Sale in Kanakia Silicon Valley, Powai Mumbai",1400 sqft,"₹
4.18 Cr"
"3 BHK Apartment for Sale in Kabra Embraze, Ghatkopar East Mumbai",1048 sqft,"₹
3.83 Cr"
"3 BHK Apartment for Sale in Omkar Alta Monte, Malad East Mumbai",1350 sqft,"₹
3.50 Cr"
"3 BHK Apartment for Sale in Rustomjee Seasons, Bandra East Mumbai",1004 sqft,"₹
6.24 Cr"
"3 BHK Apartment for Sale in Lodha Evoq, Wadala Mumbai",1800 sqft,"₹
7.11 Cr"
"3 BHK Apartment for Sale in Arkade Eden, Malad West Mumbai",1023 sqft,"₹
3.27 Cr"
"2 BHK Apartment for Sale in JK IRIS, Mira Road Area Mumbai",777 sqft,"₹
1.26 Cr"
"2 BHK Apartment for Sale in Gundecha Rexon Suites Phase 1, Goregaon West Mumbai",828 sqft,"₹
2.65 Cr"
"3 BHK Apartment for Sale in Gundecha Rexon Suites Phase 1, Goregaon West Mumbai",951 sqft,"₹
3.13 Cr"
"2 BHK Apartment for Sale in Blue Regency II, Kandivali West Mumbai",950 sqft,"₹
2.23 Cr"
"2 BHK Apartment for Sale in Piramal Revanta, Mulund West Mumbai",854 sqft,"₹
2.39 Cr"
"3 BHK Apartment for Sale in The Cozy Corner, Ghatkopar East Mumbai",950 sqft,"₹
3.26 Cr"
"3 BHK Apartment for Sale in Chandak Treesourus, Malad West Mumbai",1019 sqft,"₹
3.10 Cr"
"3 BHK Apartment for Sale in Runwal OYT, Sion Mumbai",907 sqft,"₹
2.40 Cr"
"3 BHK Apartment for Sale in Purva Clermont, Chembur Mumbai",1019 sqft,"₹
3.92 Cr"
"3 BHK Apartment for Sale in Rustomjee Elanza, Malad West Mumbai",1000 sqft,"₹
3.20 Cr"
"2 BHK Apartment for Sale in Piramal Aranya , Byculla Mumbai",704 sqft,"₹
3.60 Cr"
"2 BHK Apartment for Sale in Gurukrupa Gyanam, Powai Mumbai",572 sqft,"₹
1.90 Cr"
2 BHK Apartment for Sale in Goregaon West Mumbai,548 sqft,"₹
1.44 Cr"
"3 BHK Apartment for Sale in L&T Rejuve 360, Mulund West Mumbai",1014 sqft,"₹
2.73 Cr"
"3 BHK Apartment for Sale in Lodha Park, Worli Mumbai",1298 sqft,"₹
8.11 Cr"
"3 BHK Apartment for Sale in Jalvayu Vihar, Powai Mumbai",895 sqft,"₹
2.25 Cr"
"3 BHK Apartment for Sale in Valencia Apartment, Andheri West Mumbai",1315 sqft,"₹
4.45 Cr"
"3 BHK Apartment for Sale in Kabra Christina, Goregaon West Mumbai",821 sqft,"₹
2.80 Cr"
"2 BHK Apartment for Sale in Rajesh White City Phase 2 Wing B, Kandivali East Mumbai",643 sqft,"₹
1.85 Cr"
"2 BHK Apartment for Sale in Kalpataru Radiance, Goregaon West Mumbai",906 sqft,"₹
3.31 Cr"
3 BHK Apartment for Sale in Juhu Mumbai,1300 sqft,"₹
9 Cr"
2 BHK Apartment for Sale in Wadala East Mumbai,925 sqft,"₹
3.22 Cr"
"2 BHK Apartment for Sale in Kanakia Zen World, Kanjurmarg East Mumbai",707 sqft,"₹
1.75 Cr"
"2 BHK Apartment for Sale in MS Om Mayuresh, Mulund East Mumbai",688 sqft,"₹
1.73 Cr"
"3 BHK Apartment for Sale in Birla Niyaara, Worli Mumbai",1250 sqft,"₹
10 Cr"
"2 BHK Apartment for Sale in Adani West Bay, Andheri West Mumbai",900 sqft,"₹
4.20 Cr"
"3 BHK Apartment for Sale in Sunteck City 4th Avenue, Goregaon West Mumbai",1036 sqft,"₹
3.45 Cr"
2 BHK Apartment for Sale in Andheri West Mumbai,725 sqft,"₹
2.60 Cr"
"2 BHK Apartment for Sale in Island Cove, Mahim Mumbai",Poss. by Dec '28,"₹
4.10 Cr"
"2 BHK Apartment for Sale in Kanakia Silicon Valley, Powai Mumbai",614 sqft,"₹
2.31 Cr"
"2 BHK Apartment for Sale in Ratan Heritage, Jogeshwari East Mumbai",652 sqft,"₹
1.53 Cr"
"2 BHK Apartment for Sale in River Heaven, Juhu Mumbai",800 sqft,"₹
1.3 Lac"
"3 BHK Apartment for Sale in Codename StarLife, Mira Road East Mumbai",850 sqft,"₹
1.20 Cr"
"2 BHK Apartment for Sale in Leena Oasis, Mira Road East Mumbai",772 sqft,"₹
1.09 Cr"
"2 BHK Apartment for Sale in ANJ Ananda Anushasan, Mahim Mumbai",563 sqft,"₹
2.53 Cr"
"3 BHK Apartment for Sale in Supreme Boulevard, Chembur Mumbai",938 sqft,"₹
3.08 Cr"
"3 BHK Apartment for Sale in Lake Homes, Powai Mumbai",885 sqft,"₹
2.90 Cr"
"2 BHK Apartment for Sale in Rivali Park, Borivali East Mumbai",770 sqft,"₹
2.10 Cr"
"3 BHK Apartment for Sale in Rishabh, Kandivali West Mumbai",1113 sqft,"₹
3.41 Cr"
"2 BHK Apartment for Sale in Puri SeleQt, Andheri East Mumbai",850 sqft,"₹
2.78 Cr"
"2 BHK Apartment for Sale in Satra Nexus, Jogeshwari East Mumbai",639 sqft,"₹
1.40 Cr"
"3 BHK Apartment for Sale in Arkade Crown, Borivali West Mumbai",1196 sqft,"₹
6.50 Cr"
3 BHK Apartment for Sale in Santacruz West Mumbai,980 sqft,"₹
5.70 Cr"
3 BHK Apartment for Sale in Khar West Mumbai,1050 sqft,"₹
4.50 Cr"
"2 BHK Apartment for Sale in Dem Icon, Kandivali West Mumbai",602 sqft,"₹
1.51 Cr"
2 BHK Apartment for Sale in Borivali West Mumbai,850 sqft,"₹
1.95 Cr"
"2 BHK Apartment for Sale in Ganesh Dham, Mulund East Mumbai",625 sqft,"₹
1.75 Cr"
"2 BHK Apartment for Sale in Rustomjee Elanza, Malad West Mumbai",750 sqft,"₹
2.90 Cr"
"2 BHK Apartment for Sale in Lodha Woods, Kandivali East Mumbai",766 sqft,"₹
1.95 Cr"
"2 BHK Apartment for Sale in Chandak Highscape City, Chembur Mumbai",661 sqft,"₹
1.64 Cr"
"3 BHK Apartment for Sale in Mahindra Alcove, Chandivali Mumbai",984 sqft,"₹
3.15 Cr"
"3 BHK Apartment for Sale in Panom Parleshwar Aangan, Vile Parle East Mumbai",900 sqft,"₹
3.43 Cr"
"3 BHK Apartment for Sale in Platinum Park, Andheri West Mumbai",938 sqft,"₹
4.50 Cr"
"2 BHK Apartment for Sale in Abrol Signature, Malad West Mumbai",659 sqft,"₹
1.38 Cr"
"3 BHK Apartment for Sale in Mahant Sahyadree, Goregaon East Mumbai",761 sqft,"₹
2.05 Cr"
"2 BHK Apartment for Sale in Raymond The Address by GS Bandra, Bandra East Mumbai",645 sqft,"₹
3.09 Cr"
"3 BHK Apartment for Sale in Paranjape Aspire, Andheri West Mumbai",934 sqft,"₹
3.14 Cr"
"2 BHK Apartment for Sale in Dosti Eastern Bay, Wadala East Mumbai",784 sqft,"₹
3 Cr"
"3 BHK Apartment for Sale in Oberoi Esquire, Goregaon East Mumbai",1367 sqft,"₹
8 Cr"
"3 BHK Apartment for Sale in Oberoi Springs, Andheri West Mumbai",950 sqft,"₹
4.50 Cr"
"3 BHK Apartment for Sale in Universal Garden, Jogeshwari West Mumbai",1059 sqft,"₹
2.35 Cr"
"2 BHK Apartment for Sale in Sheth Vasant Blossom, Andheri East Mumbai",750 sqft,"₹
1.82 Cr"
"3 BHK Apartment for Sale in Sheetal Airwings, Kalina Mumbai",876 sqft,"₹
2.65 Cr"
"2 BHK Apartment for Sale in Lodha Park, Worli Mumbai",890 sqft,"₹
4.45 Cr"
"2 BHK Apartment for Sale in Siesta, Mulund West Mumbai",1310 sqft,"₹
2.65 Cr"
"2 BHK Apartment for Sale in Vasant Oasis, Andheri East Mumbai",850 sqft,"₹
2.80 Cr"
"2 BHK Apartment for Sale in Adityaraj Breeze, Vikhroli East Mumbai",510 sqft,"₹
9.9 Lac"
2 BHK Apartment for Sale in Goregaon East Mumbai,657 sqft,"₹
2.15 Cr"
"3 BHK Apartment for Sale in Lodha Bellagio, Powai Mumbai",1205 sqft,"₹
6 Cr"
"3 BHK Apartment for Sale in Godrej Platinum, Vikhroli East Mumbai",1176 sqft,"₹
4.50 Cr"
"2 BHK Apartment for Sale in Puneet Amarjyoti, Vikhroli Mumbai",560 sqft,"₹
100 Lac"
"3 BHK Apartment for Sale in Lodha Fiorenza, Goregaon East Mumbai",1072 sqft,"₹
4.60 Cr"
"3 BHK Apartment for Sale in Trump Tower, Worli Mumbai",1323 sqft,"₹
9.21 Cr"
3 BHK Apartment for Sale in Vile Parle East Mumbai,1040 sqft,"₹
4.66 Cr"
"3 BHK Apartment for Sale in HDIL Metropolis, Andheri West Mumbai",1250 sqft,"₹
3.75 Cr"
