Title (Address),Area (sq-ft),Price (Cr)
"4 BHK Apartment for Sale in Marvel Bounty, Hadapsar Pune",3700 sqft,"₹
4.05 Cr"
"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",2830 sqft,"₹
4.75 Cr"
"2 BHK Builder Floor for Sale in Shubh Shagun, Chandan Nagar, Malwadi Pune",650 sqft,"₹
78 Lac"
"2 BHK Apartment for Sale in Mantra Montana, Dhanori Pune",750 sqft,"₹
65 Lac"
"3 BHK Apartment for Sale in Gagan Signet, Burhani Colony, Gultekdi Pune",1250 sqft,"₹
1.30 Cr"
"3 BHK Apartment for Sale in Nirman Brookefield Willows, Pisoli Pune",930 sqft,"₹
60 Lac"
"2 BHK Apartment for Sale in Bhusari Colony, Kothrud Pune",830 sqft,"₹
1.15 Cr"
"3 BHK Apartment for Sale in Clover Center, Camp Pune",1550 sqft,"₹
1.45 Cr"
"2 BHK Apartment for Sale in Bhandari 7 Plumeria Drive, Punawale, Pimpri Chinchwad Pune",920 sqft,"₹
1.08 Cr"
"3 BHK Apartment for Sale in BK Jhala Kapil Woodrow Estate Phase II, Azad Nagar Wanowrie Pune",1100 sqft,"₹
90 Lac"
"2 BHK Apartment for Sale in Amanora Gold Towers, Amanora Park Town Pune",730 sqft,"₹
1 Cr"
"3 BHK Apartment for Sale in Godrej Infinity, Keshav Nagar Mundhwa Pune",1050 sqft,"₹
1.30 Cr"
"3 BHK Apartment for Sale in Mantra Parkview, Dhayari Pune",1100 sqft,"₹
90 Lac"
"2 BHK Apartment for Sale in Rucha Stature, Dhayari Phata, Dhayari Pune",815 sqft,"₹
95 Lac"
"3 BHK Apartment for Sale in Alkasa, NIBM Annexe Area Pune",1145 sqft,"₹
1.22 Cr"
"2 BHK Apartment for Sale in Magarpatta City Iris, Hadapsar Pune",950 sqft,"₹
1.18 Cr"
"3 BHK Apartment for Sale in SKYi Star City, Dhayari Pune",750 sqft,"₹
55 Lac"
"2 BHK Apartment for Sale in Kohinoor Sapphire, Tathawade Pimpri Chinchwad Pune",655 sqft,"₹
70 Lac"
"2 BHK Apartment for Sale in Woodland Society, Kothrud Pune",1000 sqft,"₹
1.45 Cr"
"3 BHK Apartment for Sale in Sankla Mahadik East World Phase I, Hadapsar Pune",985 sqft,"₹
98 Lac"
"3 BHK Apartment for Sale in Rohan Garima Phase II, Senapati Bapat Road Pune",1250 sqft,"₹
2.50 Cr"
3 BHK Villa for Sale in Ambegaon BK Pune,1700 sqft,"₹
1.65 Cr"
"3 BHK Apartment for Sale in Mont Vert Seville, Shankar Kalat Nagar Pune",1117 sqft,"₹
1.25 Cr"
"2 BHK Apartment for Sale in Greenfield Phase II, Hadapsar Pune",850 sqft,"₹
85 Lac"
"3 BHK Apartment for Sale in Swaraaj Paradise, Pimple Saudagar, Pimpri Chinchwad Pune",1149 sqft,"₹
1.27 Cr"
"4 BHK Apartment for Sale in Gera Trinity Towers, Kharadi Pune",1700 sqft,"₹
2.50 Cr"
"2 BHK Apartment for Sale in Platinum Towers, Wakad Pune",1131 sqft,"₹
86 Lac"
"4 BHK Apartment for Sale in T1 named Helios of Raheja Galaxy in RV Premiere, NIBM Road Pune",2625 sqft,"₹
4.21 Cr"
"3 BHK Apartment for Sale in Unique Zest County, Pune International Airport Area Pune",801 sqft,"₹
68 Lac"
"3 BHK Apartment for Sale in Aakash Ganga Apartment, Pimple Saudagar, Pimpri Chinchwad Pune",1680 sqft,"₹
1.86 Cr"
3 BHK Apartment for Sale in Senapati Bapat Road Pune,1300 sqft,"₹
2.50 Cr"
"3 BHK Apartment for Sale in Lotus Court, Kharadi Pune",1422 sqft,"₹
1.45 Cr"
"4 BHK Villa for Sale in Panchawati, Pashan Pune",2500 sqft,"₹
10 Cr"
"2 BHK Apartment for Sale in Shivranjan Towers, Pashan Pune",900 sqft,"₹
88 Lac"
"3 BHK Apartment for Sale in Saarrthi Echelon, Baner Pune",1400 sqft,"₹
1.75 Cr"
"2 BHK Apartment for Sale in Celestia, Baner Pune",700 sqft,"₹
76 Lac"
3 BHK Apartment for Sale in Shivajinagar Pune,1270 sqft,"₹
2.45 Cr"
"3 BHK Apartment for Sale in Lake Town, Bibwewadi Pune",1100 sqft,"₹
1.60 Cr"
"3 BHK Apartment for Sale in Shapoorji Pallonji Golfland, Patil Nagar Bavdhan Pune",1497 sqft,"₹
2.12 Cr"
"3 BHK Apartment for Sale in Krishna Amorapolis, Dhanori Pune",1379 sqft,"₹
98 Lac"
"2 BHK Apartment for Sale in Lodha Belmondo, Mumbai Pune Expressway Pune",980 sqft,"₹
1.30 Cr"
4 BHK House for Sale in Uruli Kanchan Pune,2250 sqft,"₹
1.30 Cr"
"3 BHK Apartment for Sale in Park Xpress, Baner Pune",1180 sqft,"₹
1.80 Cr"
"3 BHK Apartment for Sale in Kalyaninagar, Kalyani Nagar Pune",1750 sqft,"₹
3.50 Cr"
"3 BHK Apartment for Sale in Pristine Prism, Aundh Pune",1380 sqft,"₹
1.50 Cr"
"3 BHK Apartment for Sale in Model Colony, Shivaji Nagar Pune",1171 sqft,"₹
2.50 Cr"
2 BHK Villa for Sale in Kesnand Pune,900 sqft,"₹
42 Lac"
"3 BHK Apartment for Sale in Naiknavare Eminence, Viman Nagar Pune",1800 sqft,"₹
3.50 Cr"
"2 BHK Apartment for Sale in 5 Star Royal Grande, Wakad Pune",700 sqft,"₹
85 Lac"
"2 BHK Apartment for Sale in Notting Hill, Kondhwa Pune",640 sqft,"₹
65 Lac"
"4 BHK Apartment for Sale in Amar Landmark, Baner Pune",3038 sqft,"₹
9.75 Cr"
"2 BHK Apartment for Sale in Guardian Eastern Meadows, Kharadi Pune",665 sqft,"₹
1.05 Cr"
"2 BHK Apartment for Sale in Kakkad La Vida, Balewadi Pune",852 sqft,"₹
1.20 Cr"
"2 BHK Apartment for Sale in ARV Royale, Hadapsar Pune",698 sqft,"₹
48 Lac"
"3 BHK Villa for Sale in Gulmohar Retreat, Fatima Nagar Wanowrie Pune",2513 sqft,"₹
2.35 Cr"
"4 BHK Apartment for Sale in The Signature Tower, Model Colony, Shivaji Nagar Pune",2000 sqft,"₹
4.60 Cr"
"3 BHK Flat for Sale in Saket, New Delhi",1600 sqft,"₹
1.20 Cr"
"4 BHK Flat for Sale in New Friends Colony, New Delhi",3500 sqft,"₹
7 Cr"
"4 BHK Flat for Sale in Greater Kailash 2, New Delhi",560 sqyrd,"₹
14.25 Cr"
"3 BHK Flat for Sale in Safdarjung Enclave, New Delhi",200 sqyrd,"₹
7.50 Cr"
"4 BHK Flat for Sale in Safdarjung Enclave, New Delhi",2100 sqft,"₹
6.50 Cr"
"3 BHK Flat for Sale in Kishangarh, Vasant Kunj, New Delhi",1300 sqft,"₹
1.60 Cr"
"3 BHK Flat for Sale in DDA Flats Munirka, Munirka, New Delhi",1250 sqft,"₹
1.75 Cr"
"4 BHK Flat for Sale in Greater Kailash 1, New Delhi",500 sqyrd,"₹
8.50 Cr"
"4 BHK Flat for Sale in Vasant Vihar, New Delhi",3300 sqft,"₹
12 Cr"
"3 BHK Flat for Sale in New Jyoti Apartments, Dwarka, New Delhi",1300 sqft,"₹
2.65 Cr"
"3 BHK Flat for Sale in Nistads CGHS, Sector 18 Dwarka, New Delhi",1625 sqft,"₹
2.68 Cr"
"3 BHK Flat for Sale in Greater Kailash 1, New Delhi",1550 sqft,"₹
5.15 Cr"
"4 BHK Flat for Sale in RWA GK 2, Greater Kailash 2, New Delhi",2400 sqft,"₹
10 Cr"
"2 BHK Flat for Sale in DDA Green View Apartments, Sector 19 Dwarka, New Delhi",1000 sqft,"₹
1.64 Cr"
"4 BHK Flat for Sale in Omdev Homes, Greater Kailash 1, New Delhi",2300 sqft,"₹
7.25 Cr"
"3 BHK Flat for Sale in Sector 6 Dwarka, New Delhi",1650 sqft,"₹
2.40 Cr"
"3 BHK Flat for Sale in Defence Colony, New Delhi",2925 sqft,"₹
8 Cr"
"3 BHK Flat for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, New Delhi",1605 sqft,"₹
3.35 Cr"
"3 BHK Flat for Sale in South Delhi Apartment, Sector 4 Dwarka, New Delhi",1487 sqft,"₹
2.25 Cr"
"4 BHK Flat for Sale in Moti Nagar, Kirti Nagar, New Delhi",2700 sqft,"₹
7.50 Cr"
"4 BHK Flat for Sale in Sector 23 Rohini, New Delhi",2200 sqft,"₹
2.25 Cr"
"3 BHK Flat for Sale in Chattarpur, New Delhi",1300 sqft,"₹
1.06 Cr"
"3 BHK Flat for Sale in Uttam Nagar, New Delhi",810 sqft,"₹
43 Lac"
"4 BHK Flat for Sale in Seth Vihar Apartment, Dwarka, New Delhi",2100 sqft,"₹
3.51 Cr"
"5 BHK Flat for Sale in Prime Luxury Builder Floor, Greater Kailash 1, New Delhi",8000 sqft,"₹
27 Cr"
3 BHK Builder Floor for Sale in Saket New Delhi,1600 sqft,"₹
3.75 Cr"
4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,4000 sqft,"₹
11 Cr"
"2 BHK Apartment for Sale in DDA Arunodaya Apartment, Sector 7 Dwarka New Delhi",80 sqyrd,"₹
1.55 Cr"
3 BHK Builder Floor for Sale in Uttam Nagar New Delhi,1000 sqft,"₹
72 Lac"
3 BHK Builder Floor for Sale in Sector 8 Dwarka New Delhi,1800 sqft,"₹
2.65 Cr"
2 BHK Builder Floor for Sale in Govindpuri New Delhi,60 sqyrd,"₹
38 Lac"
"2 BHK Apartment for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar New Delhi",1250 sqft,"₹
2.30 Cr"
3 BHK Builder Floor for Sale in Chattarpur New Delhi,1150 sqft,"₹
76 Lac"
"3 BHK Apartment for Sale in Parvana Vihar, Sector 9 Rohini New Delhi",1250 sqft,"₹
2.30 Cr"
3 BHK Builder Floor for Sale in Malviya Nagar New Delhi,1125 sqft,"₹
1.70 Cr"
3 BHK Builder Floor for Sale in Pitam Pura New Delhi,1130 sqft,"₹
1.95 Cr"
"3 BHK Apartment for Sale in The Maharani Aventi Bai CGHS, Sector 22 Dwarka New Delhi",1500 sqft,"₹
2.72 Cr"
3 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,1200 sqft,"₹
1.55 Cr"
"3 BHK Apartment for Sale in Dhruva Apartment, Sector 13 Rohini New Delhi",1150 sqft,"₹
2.25 Cr"
3 BHK Builder Floor for Sale in Mahavir Enclave Part 1 New Delhi,900 sqft,"₹
85 Lac"
"3 BHK Apartment for Sale in DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road New Delhi",1500 sqft,"₹
1.92 Cr"
4 BHK Builder Floor for Sale in Uttam Nagar New Delhi,900 sqft,"₹
95 Lac"
4 BHK Builder Floor for Sale in Vasant Vihar New Delhi,1800 sqft,"₹
13 Cr"
"3 BHK Apartment for Sale in DDA Flats Sector A Pocket B & C, Vasant Kunj New Delhi",1600 sqft,"₹
3.20 Cr"
3 BHK Apartment for Sale in Sector 10 Dwarka New Delhi,1950 sqft,"₹
2.60 Cr"
"4 BHK Apartment for Sale in The Excellence Apartment, Dwarka New Delhi",1900 sqft,"₹
3.50 Cr"
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,225 sqyrd,"₹
4.60 Cr"
3 BHK Builder Floor for Sale in Green Park New Delhi,1650 sqft,"₹
5.25 Cr"
2 BHK Builder Floor for Sale in Chattarpur New Delhi,685 sqft,"₹
43 Lac"
2 BHK Builder Floor for Sale in Uttam Nagar New Delhi,630 sqft,"₹
24.5 Lac"
"3 BHK Apartment for Sale in DDA Flats Vasant Kunj, Vasant Kunj New Delhi",1600 sqft,"₹
2.85 Cr"
4 BHK Builder Floor for Sale in Panchsheel Enclave New Delhi,3096 sqft,"₹
7.10 Cr"
"2 BHK Apartment for Sale in DDA Flats Munirka, Munirka New Delhi",1000 sqft,"₹
2.10 Cr"
4 BHK Builder Floor for Sale in New Friends Colony New Delhi,2500 sqft,"₹
8 Cr"
"2 BHK Apartment for Sale in Saraswati Apartment, Patparganj New Delhi",1050 sqft,"₹
1.55 Cr"
3 BHK Builder Floor for Sale in Mahavir Enclave New Delhi,1000 sqft,"₹
70 Lac"
4 BHK Builder Floor for Sale in Green Park New Delhi,350 sqyrd,"₹
9 Cr"
3 BHK Apartment for Sale in Sector 23 Dwarka New Delhi,1200 sqft,"₹
96 Lac"
3 BHK Builder Floor for Sale in Vasant Vihar New Delhi,1500 sqft,"₹
6.50 Cr"
2 BHK Apartment for Sale in Chattarpur New Delhi,850 sqft,"₹
52 Lac"
4 BHK Builder Floor for Sale in Janakpuri New Delhi,2300 sqft,"₹
6.50 Cr"
4 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,2200 sqft,"₹
9 Cr"
"3 BHK Apartment for Sale in Leela Skyvillas Navin Minar, Patel Nagar New Delhi",2306 sqft,"₹
6.98 Cr"
4 BHK House for Sale in Rajinder Nagar New Delhi,600 sqyrd,"₹
15 Cr"
"4 BHK Builder Floor for Sale in Soami Nagar North, Soami Nagar New Delhi",500 sqyrd,"₹
14 Cr"
"5 BHK Penthouse for Sale in M2K Victoria Gardens, Model Town New Delhi",5555 sqft,"₹
7 Cr"
"3 BHK Apartment for Sale in DLF One Midtown, Moti Nagar, Kirti Nagar New Delhi",2280 sqft,"₹
6 Cr"
5 BHK Villa for Sale in Vasant Kunj New Delhi,8000 sqft,"₹
22.45 Cr"
"3 BHK Apartment for Sale in Risland Sky Mansion, Chattarpur New Delhi",3300 sqft,"₹
6.29 Cr"
"4 BHK Builder Floor for Sale in Luxury Builder Floor, Greater Kailash 2 New Delhi",2772 sqft,"₹
16 Cr"
3 BHK Builder Floor for Sale in Sector 22 Rohini New Delhi,95 sqm,"₹
1.24 Cr"
"3 BHK Builder Floor for Sale in Rwa Hauz Khas, Hauz Khas New Delhi",1400 sqft,"₹
3.75 Cr"
4 BHK Builder Floor for Sale in Paschim Vihar New Delhi,2200 sqft,"₹
3.60 Cr"
"2 BHK Apartment for Sale in Vikrant Apartment, Pocket 40 Sector 13 Rohini New Delhi",900 sqft,"₹
1.18 Cr"
"3 BHK Apartment for Sale in Prerana Apartment, Sector 10 Dwarka New Delhi",1764 sqft,"₹
2.68 Cr"
"4 BHK Builder Floor for Sale in Navjeevan Vihar, Navjeevan Vihar New Delhi",2250 sqft,"₹
5.50 Cr"
"3 BHK Apartment for Sale in Godrej South Estate, Okhla Vihar, Okhla New Delhi",2195 sqft,"₹
7.10 Cr"
"3 BHK Apartment for Sale in DDA Dwarkadheesh Apartment, Sector 12 Dwarka New Delhi",1400 sqft,"₹
2.10 Cr"
"4 BHK Builder Floor for Sale in New Rajdhani Enclave, Swasthya Vihar New Delhi",309 sqyrd,"₹
5 Cr"
"3 BHK Apartment for Sale in Young Aheria Apartment, Sector 7 Dwarka New Delhi",1800 sqft,"₹
2.40 Cr"
2 BHK Builder Floor for Sale in Uttam Nagar West New Delhi,600 sqft,"₹
24.5 Lac"
"3 BHK Apartment for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar New Delhi",1218 sqft,"₹
3.40 Cr"
"3 BHK Apartment for Sale in Sahara Apartments, Sector 6 Dwarka New Delhi",1600 sqft,"₹
2.75 Cr"
"3 BHK Apartment for Sale in Jagran Apartment, Sector 22 Dwarka New Delhi",1700 sqft,"₹
3.12 Cr"
3 BHK Builder Floor for Sale in Chhatarpur Extension New Delhi,1150 sqft,"₹
59 Lac"
"5 BHK Builder Floor for Sale in Hauz Khas Enclave, Hauz Khas New Delhi",5200 sqft,"₹
24 Cr"
4 BHK House for Sale in Vasant Vihar New Delhi,4500 sqft,"₹
25 Cr"
"4 BHK Apartment for Sale in Umang Winter Hills, Dwarka Mor New Delhi",2302 sqft,"₹
2.70 Cr"
"4 BHK Builder Floor for Sale in Saini Enclave, Anand Vihar New Delhi",1800 sqft,"₹
4 Cr"
"3 BHK Apartment for Sale in Navkunj Apartment, IP Extension New Delhi",1350 sqft,"₹
1.80 Cr"
3 BHK Builder Floor for Sale in Laxmi Nagar New Delhi,1100 sqft,"₹
1.25 Cr"
4 BHK Builder Floor for Sale in Sector 23 Rohini New Delhi,250 sqyrd,"₹
2.65 Cr"
"2 BHK Apartment for Sale in Godrej South Estate, Okhla New Delhi",1573 sqft,"₹
3.20 Cr"
"3 BHK Apartment for Sale in Rohini Sector 29 DDA Plots, Sector 29 Rohini New Delhi",969 sqft,"₹
85 Lac"
4 BHK Builder Floor for Sale in Panchsheel Park New Delhi,4500 sqft,"₹
19 Cr"
"5 BHK Apartment for Sale in M2K Victoria Gardens, Model Town New Delhi",8100 sqft,"₹
9.50 Cr"
2 BHK Apartment for Sale in Vikaspuri New Delhi,750 sqft,"₹
75 Lac"
"3 BHK Apartment for Sale in Godrej Connaught One, Connaught Place New Delhi",2201 sqft,"₹
16.75 Cr"
4 BHK Apartment for Sale in Paschim Vihar New Delhi,2225 sqft,"₹
2.90 Cr"
"3 BHK Apartment for Sale in Shivalika Apartments, Dwarka Sector 9 New Delhi",1600 sqft,"₹
2.72 Cr"
"4 BHK Apartment for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar New Delhi",2500 sqft,"₹
11 Cr"
3 BHK Builder Floor for Sale in Anand Niketan New Delhi,1800 sqft,"₹
5.50 Cr"
"4 BHK Apartment for Sale in DDA Flats Vasant Kunj, Pocket 9 Sector B Vasant Kunj New Delhi",1850 sqft,"₹
4.50 Cr"
3 BHK Builder Floor for Sale in Anand Vihar New Delhi,1200 sqft,"₹
2.70 Cr"
"3 BHK Apartment for Sale in Emaar Project Commonwealth Games Village 2010, Commonwealth Games Village New Delhi",1849 sqft,"₹
4.45 Cr"
4 BHK Builder Floor for Sale in Geetanjali Enclave Malviya Nagar New Delhi,342 sqyrd,"₹
10.50 Cr"
3 BHK Builder Floor for Sale in Block G Chittaranjan Park New Delhi,1400 sqft,"₹
2.99 Cr"
"2 BHK Apartment for Sale in Saptrishi Apartment, Sector 23 Rohini New Delhi",810 sqft,"₹
90 Lac"
"2 BHK Apartment for Sale in DDA Pocket I, Dilshad Garden New Delhi",900 sqft,"₹
75 Lac"
2 BHK Builder Floor for Sale in Main Rajapuri Road New Delhi,590 sqft,"₹
53 Lac"
3 BHK Builder Floor for Sale in Sector 28 Rohini New Delhi,600 sqft,"₹
60 Lac"
3 BHK Builder Floor for Sale in Vikaspuri New Delhi,200 sqyrd,"₹
2.75 Cr"
"2 BHK Apartment for Sale in DDA Peepal Apartment Pocket E, Dwarka New Delhi",710 sqft,"₹
1 Cr"
3 BHK Villa for Sale in Jyoti Colony New Delhi,1150 sqft,"₹
4.50 Cr"
"2 BHK Apartment for Sale in Unity the Amaryllis, Karol Bagh New Delhi",852 sqft,"₹
2.70 Cr"
"4 BHK Builder Floor for Sale in DDA Karuna Kunj, Dwarka Sector 3 New Delhi",1950 sqft,"₹
3.05 Cr"
2 BHK Apartment for Sale in Mehrauli New Delhi,95 sqyrd,"₹
40 Lac"
2 BHK Builder Floor for Sale in Mahavir Enclave Part 1 New Delhi,684 sqft,"₹
40 Lac"
"3 BHK Builder Floor for Sale in Joshi Lane, Karol Bagh New Delhi",1210 sqft,"₹
1.40 Cr"
2 BHK Builder Floor for Sale in Saidulajab New Delhi,630 sqft,"₹
35 Lac"
"4 BHK Builder Floor for Sale in Maa Kalyani Kunj Apartment, Kalyan Vihar New Delhi",3100 sqft,"₹
5.25 Cr"
"3 BHK Builder Floor for Sale in Kalindi Colony, Maharani Bagh, New Friends Colony New Delhi",466 sqyrd,"₹
6.50 Cr"
3 BHK Builder Floor for Sale in Gagan Vihar Krishna Nagar New Delhi,1500 sqft,"₹
1.80 Cr"
"3 BHK Apartment for Sale in Welcome Apartment, Sector 9 Rohini New Delhi",900 sqft,"₹
1.85 Cr"
"3 BHK Apartment for Sale in DDA Flats Sector 6, Pocket 2 Sector 6 Dwarka New Delhi",1300 sqft,"₹
1.44 Cr"
3 BHK Apartment for Sale in Govindpuri New Delhi,900 sqft,"₹
50 Lac"
3 BHK Builder Floor for Sale in Block A1 Chattarpur New Delhi,1350 sqft,"₹
90 Lac"
"4 BHK Villa for Sale in Balaji Parisar Phase II, Ayodhya Bypass Bhopal",2198 sqft,"₹
1.60 Cr"
"4 BHK Villa for Sale in British Park, Hoshangabad Road Bhopal",4500 sqft,"₹
2.48 Cr"
"3 BHK Flat for Sale in Krishna Green City Extension, Bawadiya Kalan, Bhopal",1726 sqft,"₹
78 Lac"
"3 BHK Villa for Sale in Regal Deep, Khajuri Kalan Bhopal",1535 sqft,"₹
61 Lac"
"4 BHK Flat for Sale in Pradhan Pristine, Bawadiya Kalan, Bhopal",2455 sqft,"₹
1.10 Cr"
"2 BHK House for Sale in Sterling Green Meadows, Bhojpur Road Bhopal",1035 sqft,"₹
50 Lac"
4 BHK Villa for Sale in Hoshangabad Road Bhopal,2200 sqft,"₹
1.92 Cr"
2 BHK Flat for Sale in Bhopal,750 sqft,"₹
21.5 Lac"
3 BHK House for Sale in Ayodhya Bypass Bhopal,1400 sqft,"₹
60 Lac"
2 BHK House for Sale in Kolar Road Bhopal,500 sqft,"₹
25 Lac"
"2 BHK Flat for Sale in Sheetal Dham, Hoshangabad Road, Bhopal",661 sqft,"₹
25 Lac"
4 BHK House for Sale in Awadhpuri Bhopal,1276 sqft,"₹
1 Cr"
"4 BHK Villa for Sale in ABDL Paradise, Katara Hills Bhopal",1800 sqft,"₹
69 Lac"
"5 BHK Villa for Sale in Shree Golden City, Hoshangabad Road Bhopal",5500 sqft,"₹
6.20 Cr"
"3 BHK Flat for Sale in Canal Kinship, Bawaria Kalan, Bhopal",1005 sqft,"₹
90 Lac"
4 BHK Villa for Sale in Awadhpuri Bhopal,3000 sqft,"₹
1.30 Cr"
"2 BHK Flat for Sale in vinayak parisar, Gulmohar, Bhopal",754 sqft,"₹
25 Lac"
"4 BHK Flat for Sale in Kohefiza, Bhopal",1400 sqft,"₹
65 Lac"
"3 BHK Flat for Sale in Sanskaar Lifestyle Blu, Bawaria Kalan, Bhopal",1782 sqft,"₹
42 Lac"
"3 BHK Flat for Sale in Soumya Evergreen, Kolar Road Janki Nagar, Bhopal",1176 sqft,"₹
35 Lac"
"3 BHK Flat for Sale in People High Rise Phase 1, Bhanpur, Bhopal",920 sqft,"₹
42 Lac"
5 BHK House for Sale in Hoshangabad Road Bhopal,1100 sqft,"₹
80 Lac"
"2 BHK Flat for Sale in Katara Hills, Bhopal",1000 sqft,"₹
28 Lac"
4 BHK House for Sale in Ashok Housing Society Bhopal,1800 sqft,"₹
1.80 Cr"
"2 BHK Flat for Sale in Aadhhaar Symphony, Kolar Road, Bhopal",750 sqft,"₹
32 Lac"
"3 BHK Villa for Sale in Rishi Villas, Gandhi Nagar Bhopal",1590 sqft,"₹
70 Lac"
"2 BHK Flat for Sale in Fortune Divine City 2, Misrod, Bhopal",894 sqft,"₹
29.5 Lac"
4 BHK House for Sale in Bairagarh Bhopal,2400 sqft,"₹
98 Lac"
"2 BHK Flat for Sale in Aryan Sraja 1 , 11Th Mile Road, Bhopal",880 sqft,"₹
28 Lac"
3 BHK Apartment for Sale in Katara Hills Bhopal,1119 sqft,"₹
50 Lac"
3 BHK House for Sale in Danish Kunj Bhopal,1602 sqft,"₹
1.15 Cr"
5 BHK Villa for Sale in Bawadiya Kalan Bhopal,4600 sqft,"₹
2.60 Cr"
3 BHK Apartment for Sale in chinar retreat Bhopal,910 sqft,"₹
60 Lac"
3 BHK House for Sale in Kotra Sultanabad Bhopal,1200 sqft,"₹
1.03 Cr"
3 BHK House for Sale in Gomti colony Bhopal,1700 sqft,"₹
1.60 Cr"
"2 BHK Apartment for Sale in Unihomes Bhopal, Kolar Road Janki Nagar Bhopal",785 sqft,"₹
23.5 Lac"
"2 BHK Apartment for Sale in Nirupam Royal Palms, Hoshangabad Road Bhopal",1150 sqft,"₹
32 Lac"
2 BHK House for Sale in Neelbad Bhopal,900 sqft,"₹
35 Lac"
"3 BHK Apartment for Sale in Regalia Heights, Kohefiza Bhopal",980 sqft,"₹
53 Lac"
5 BHK House for Sale in Bagmugaliya Bhopal,3750 sqft,"₹
2.09 Cr"
"3 BHK House for Sale in Fast Track Heavens Height, Bagli Village Bhopal",1500 sqft,"₹
80 Lac"
"3 BHK Apartment for Sale in Drishti City, Kolar Road Janki Nagar Bhopal",1365 sqft,"₹
35 Lac"
"4 BHK Villa for Sale in Rishi Coral Wood Bungalows, Hoshangabad Road Bhopal",2950 sqft,"₹
1.80 Cr"
"2 BHK Apartment for Sale in Sagar Life Style Towers, E8 Bhopal",1297 sqft,"₹
50 Lac"
"3 BHK Apartment for Sale in Sagar Golden Palm, Bagli Village Bhopal",1200 sqft,"₹
35 Lac"
"3 BHK Apartment for Sale in Sanskaar Lifestyle Blu, Bawaria Kalan Bhopal",1300 sqft,"₹
36 Lac"
"3 BHK Apartment for Sale in Ruchi Lifescapes, Hoshangabad Road Bhopal",1460 sqft,"₹
35 Lac"
"3 BHK Apartment for Sale in Soumya Evergreen, Kolar Road Janki Nagar Bhopal",1000 sqft,"₹
34.5 Lac"
"3 BHK Apartment for Sale in Bhopal Mahalaxmi Awasiy Parisar, Jahangirabad Colony Bhopal",1738 sqft,"₹
55 Lac"
2 BHK House for Sale in Bawadiya Kalan Bhopal,2000 sqft,"₹
1.49 Cr"
"3 BHK Apartment for Sale in Aakriti Eco City, Bawaria Kalan Bhopal",1050 sqft,"₹
64 Lac"
4 BHK House for Sale in Bawadiya Kalan Bhopal,2000 sqft,"₹
1.70 Cr"
2 BHK Apartment for Sale in Hazrat Nizamuddin colony Bhopal,750 sqft,"₹
28 Lac"
"3 BHK Apartment for Sale in Mahendra Greenwoods, Jatkhedi Bhopal",960 sqft,"₹
37 Lac"
4 BHK House for Sale in Arera Hills Bhopal,3000 sqft,"₹
3.50 Cr"
2 BHK Apartment for Sale in Saket Nagar Bhopal,1050 sqft,"₹
30 Lac"
"3 BHK Apartment for Sale in Bhawani Shankar Abode, Ayodhya Bypass Bhopal",861 sqft,"₹
42 Lac"
1 BHK Apartment for Sale in Jatkhedi Bhopal,630 sqft,"₹
25 Lac"
"3 BHK Apartment for Sale in Paras Heights, Karond road Bhopal",1074 sqft,"₹
26 Lac"
5 BHK House for Sale in Saket Nagar Bhopal,2400 sqft,"₹
1.70 Cr"
3 BHK Apartment for Sale in Kolar Road Bhopal,1500 sqft,"₹
35 Lac"
"2 BHK Apartment for Sale in Mahendra Greenwoods, Hoshangabad Road Bhopal",1150 sqft,"₹
40 Lac"
"2 BHK Apartment for Sale in Sagar Royal Villas, Hoshangabad Road Bhopal",1150 sqft,"₹
37.5 Lac"
"2 BHK House for Sale in Sage Suncity, Katara Hills Bhopal",750 sqft,"₹
43 Lac"
"4 BHK Apartment for Sale in Fortune Signature, Bawaria Kalan Bhopal",1900 sqft,"₹
1.10 Cr"
4 BHK Villa for Sale in Katara Hills Bhopal,2167 sqft,"₹
1.35 Cr"
"4 BHK House for Sale in British Park, Hoshangabad Road Bhopal",1592 sqft,"₹
85 Lac"
3 BHK Apartment for Sale in devalaya prestine Bhopal,1850 sqft,"₹
70 Lac"
"2 BHK Apartment for Sale in Madhuban City and Heights, Kolar Road Janki Nagar Bhopal",800 sqft,"₹
35 Lac"
3 BHK Apartment for Sale in Salaiya Bhopal,1000 sqft,"₹
39 Lac"
"2 BHK Apartment for Sale in Aashima Heights, Danish Kunj Bhopal",612 sqft,"₹
29 Lac"
"4 BHK House for Sale in Sagar Pearl, Hoshangabad Road Bhopal",1150 sqft,"₹
1.25 Cr"
"3 BHK Apartment for Sale in Ganesh Galaxy City, Ayodhya Nagar Bhopal",1450 sqft,"₹
39.9 Lac"
4 BHK House for Sale in Trilanga Bhopal,3000 sqft,"₹
1.50 Cr"
